contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,underlying_symbol,option_type,expiration_date,quote_timestamp,downloaded_at,source
SPY260529C00630000,2026-05-06 15:25:11+00:00,630.0,104.39,102.67,105.49,0.0,0.0,1.0,285.0,0.4700370379638672,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00631000,2026-04-08 13:47:49+00:00,631.0,54.27,101.68,104.5,0.0,0.0,1.0,23.0,0.4666191033935547,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00632000,2026-04-30 16:50:09+00:00,632.0,102.1,100.68,103.51,15.830002,18.349371,1.0,78.0,0.46320116882324225,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00633000,2026-04-28 16:00:24+00:00,633.0,80.48,99.69,102.52,0.0,0.0,27.0,93.0,0.4598442687988281,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00634000,2026-04-17 15:03:18+00:00,634.0,81.7,98.7,101.53,0.0,0.0,5.0,56.0,0.45642633422851564,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00635000,2026-05-06 14:53:11+00:00,635.0,98.95,97.71,100.54,0.0,0.0,1.0,1111.0,0.45300839965820316,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00636000,2026-05-01 15:19:39+00:00,636.0,89.67,96.72,99.55,0.0,0.0,2.0,84.0,0.4495904650878906,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00637000,2026-04-27 16:29:39+00:00,637.0,99.07,95.73,98.56,18.470001,22.915634,3.0,158.0,0.44611149597167965,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00638000,2026-05-01 14:56:47+00:00,638.0,87.72,94.75,97.57,0.0,0.0,1.0,146.0,0.4426935614013672,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00639000,2026-04-14 19:31:42+00:00,639.0,61.94,93.76,96.58,0.0,0.0,1.0,202.0,0.4392756268310547,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
