date,asset,ticker,open,high,low,close,adj_close,volume,price_used,return_1d,log_return_1d,return_5d,return_20d,volatility_5d,volatility_20d,volatility_60d,volatility_5d_ann,volatility_20d_ann,volatility_60d_ann,hl_range,co_return,oc_gap
2025-11-03,SP500_INDEX,^GSPC,6882.31982421875,6882.31982421875,6820.6201171875,6851.97021484375,6851.97021484375,6065720000.0,6851.97021484375,0.0017207127269924793,0.0017192339969181521,-0.0033730038107067095,0.016570592504701276,0.00528722073426359,0.00924513977525351,0.006596840400429088,0.08393202713739469,0.14676204408811422,0.10472159482991472,0.008964957835020966,-0.004409793521684405,0.006157660258995641
2025-11-04,SP500_INDEX,^GSPC,6788.52001953125,6820.2099609375,6766.7099609375,6771.5498046875,6771.5498046875,5739510000.0,6771.5498046875,-0.011736830084583816,-0.011806250392326715,-0.017318565477532966,0.008483014191926985,0.006841501583073639,0.009621035321871297,0.006790949577380638,0.10860547069840532,0.15272920089983832,0.10780298248637012,0.007880951937399485,-0.0024998401411390108,-0.009260138810154897
2025-11-05,SP500_INDEX,^GSPC,6769.77001953125,6829.77978515625,6763.10986328125,6796.2900390625,6796.2900390625,5939600000.0,6796.2900390625,0.0036535556982648654,0.0036468976756877185,-0.013685302249274556,0.0063031666791864005,0.007476431134275345,0.009569278971015489,0.006665591912816665,0.1186846648535587,0.15190759430104228,0.10581299125413736,0.009848181205957176,0.003917418088758987,-0.00026283276466754647
2025-11-06,SP500_INDEX,^GSPC,6787.58984375,6796.68017578125,6707.509765625,6720.31982421875,6720.31982421875,6051900000.0,6720.31982421875,-0.011178189042419073,-0.011241134514722728,-0.014953816706259726,-0.002195961070083352,0.007801289824019291,0.009895060608126218,0.006838806228729961,0.12384163667936333,0.15707921746208117,0.1085626832746739,0.013137271433446725,-0.009910737254283581,-0.0012801389085066372
2025-11-07,SP500_INDEX,^GSPC,6696.18017578125,6730.10986328125,6631.43994140625,6728.7998046875,6728.7998046875,5926070000.0,6728.7998046875,0.0012618418007710464,0.0012610463474931072,-0.016286130148842948,0.02690420088915113,0.007577464627861433,0.007509445871884484,0.006839121027762521,0.12028852184225969,0.1192087575654417,0.1085676805543926,0.014735254919195492,0.004871378614367143,-0.0035920386334152305
2025-11-10,SP500_INDEX,^GSPC,6785.35986328125,6841.31982421875,6770.56005859375,6832.43017578125,6832.43017578125,5366050000.0,6832.43017578125,0.01540101862170995,0.015283626703501816,-0.0028517402221289734,0.02670434747070316,0.011320323143988587,0.007490243570881534,0.007077524591562577,0.1797045587992958,0.11890393048711763,0.11235221980331142,0.010428299611331468,0.006937039957853885,0.008405668207627224
2025-11-11,SP500_INDEX,^GSPC,6815.64013671875,6855.1298828125,6806.8701171875,6846.60986328125,6846.60986328125,4983490000.0,6846.60986328125,0.002075350517340535,0.0020731999523923177,0.011084620324551153,0.030447074700532095,0.009418552146207694,0.007460657647428394,0.007077564040442005,0.1495148801349553,0.11843426851252643,0.11235284603485822,0.007080738515668416,0.0045439204449267976,-0.0024574036807599215
2025-11-12,SP500_INDEX,^GSPC,6867.77001953125,6869.91015625,6829.6201171875,6850.919921875,6850.919921875,5293610000.0,6850.919921875,0.0006295171887717999,0.0006293191259445972,0.008038191792655747,0.026961211816636466,0.009399699425776762,0.007438903521601543,0.007020100858812175,0.1492156024761717,0.11808893247096171,0.11144064630604782,0.005866538767011586,-0.002453503481964307,0.0030906034771286
2025-11-13,SP500_INDEX,^GSPC,6826.47021484375,6828.0498046875,6724.72021484375,6737.490234375,6737.490234375,5473720000.0,6737.490234375,-0.01655685496159698,-0.01669545163092778,0.0025549989591822087,0.016355297655810563,0.01137221958275735,0.008311394197256782,0.007374451374113179,0.18052838922476805,0.13193929256500056,0.1170657863486521,0.015136605975232413,-0.01303455192337445,-0.003568821021127694
2025-11-14,SP500_INDEX,^GSPC,6672.14013671875,6774.31005859375,6646.8701171875,6734.10986328125,6734.10986328125,5042660000.0,6734.10986328125,-0.0005017255648851471,-0.0005018514712717733,0.0007891538978541668,0.010519206922211977,0.01137045460087333,0.008248787970264631,0.007348962378607446,0.18050037100596614,0.13094544952212883,0.11666116108899002,0.019100309465161038,0.009287833482612627,-0.009699471966999024
2025-11-17,SP500_INDEX,^GSPC,6713.60986328125,6754.5,6638.89990234375,6672.41015625,6672.41015625,5204220000.0,6672.41015625,-0.00916226617680782,-0.009204497894305158,-0.023420659328282523,-0.009312326214013456,0.00800118349782774,0.008162607570643052,0.00722415219696858,0.12701485037667665,0.12957737809040765,0.11467986087875857,0.017218769039366092,-0.006136744295581365,-0.0030442033789468362
2025-11-18,SP500_INDEX,^GSPC,6641.18994140625,6666.6298828125,6574.31982421875,6617.31982421875,6617.31982421875,5159390000.0,6617.31982421875,-0.008256436690967983,-0.008290709844169318,-0.03348957274346753,-0.017523999751486108,0.0070849214510417535,0.008345873826331575,0.007287658668379631,0.11246964130730017,0.1324866397079785,0.11568799485873983,0.013899626333259738,-0.0035942530477370417,-0.004679001157401309
2025-11-19,SP500_INDEX,^GSPC,6625.83984375,6689.75,6603.5,6642.16015625,6642.16015625,5021610000.0,6642.16015625,0.0037538357962292324,0.00374680773726533,-0.030471785979927946,-0.008544010945476632,0.007983731448600598,0.008337491660930493,0.007284589008305195,0.12673780768393583,0.13235357695738167,0.11563926551574107,0.013017217746571042,0.0024631311478792487,0.001287533285011789
2025-11-20,SP500_INDEX,^GSPC,6737.93017578125,6770.35009765625,6534.0498046875,6538.759765625,6538.759765625,5596080000.0,6538.759765625,-0.015567283563270418,-0.01568972611631523,-0.029496216222484106,-0.029632997773603176,0.0076589184668459,0.008860336627678806,0.007571209514063563,0.12158156144996607,0.1406534834949289,0.12018922498907025,0.03507016053952376,-0.029559583575405123,0.014418505016193316
2025-11-21,SP500_INDEX,^GSPC,6555.77001953125,6660.0498046875,6521.919921875,6602.990234375,6602.990234375,5929930000.0,6602.990234375,0.009823035415319481,0.009775103041592069,-0.019470966700617653,-0.027783910729025307,0.010390987311226637,0.00897583145553135,0.00766348628479977,0.1649518098116004,0.1424869070482012,0.121654073312007,0.021069970789240187,0.007202847980186824,0.0026014495892133596
2025-11-24,SP500_INDEX,^GSPC,6636.5400390625,6715.75,6630.7001953125,6705.1201171875,6705.1201171875,6039740000.0,6705.1201171875,0.015467217001293498,0.015348818899081837,0.004902270719503221,-0.024732520435603478,0.012799392857545736,0.009249355154067253,0.007854937203650185,0.20318406260209432,0.14682896115225277,0.12469326242932503,0.012815383345372602,0.010333709692300425,0.00508100171235156
2025-11-25,SP500_INDEX,^GSPC,6697.02978515625,6776.39990234375,6659.97998046875,6765.8798828125,6765.8798828125,5003330000.0,6765.8798828125,0.009061696817220577,0.009020886000832944,0.022450185655230825,-0.018141379622368503,0.011980573432716798,0.009504055371052618,0.007864722003224668,0.19018570720149644,0.1508722017503576,0.1248485913071412,0.01738381425942602,0.010280691569993314,-0.0012065901713694482
2025-11-26,SP500_INDEX,^GSPC,6793.5498046875,6831.43994140625,6783.8701171875,6812.60986328125,6812.60986328125,4485000000.0,6812.60986328125,0.006906711511012631,0.006882969436149685,0.025661788186613244,-0.011316880301543542,0.01201722379368518,0.009662379321239199,0.00788437338647855,0.19076751364499497,0.153385516543032,0.12516054734519036,0.007002204383035091,0.0028056110784083306,0.004089626531102105
2025-11-28,SP500_INDEX,^GSPC,6822.52001953125,6850.85986328125,6819.75,6849.08984375,6849.08984375,2558540000.0,6849.08984375,0.005354773163420257,0.005340487341137372,0.04746008253070255,0.003920942171256048,0.003821261048527078,0.009484102815190293,0.007846372536800074,0.060660638574363414,0.15055546474536657,0.12455730255803997,0.0045598786360743345,0.003894429645158522,0.001454678375671264
2025-12-01,SP500_INDEX,^GSPC,6812.2998046875,6843.64990234375,6799.93994140625,6812.6298828125,6812.6298828125,4549370000.0,6812.6298828125,-0.005323329342915684,-0.005337548746055966,0.03174919862006176,-0.004030629471765135,0.007516073739207993,0.00954385950510306,0.007870224538075319,0.11931397169740614,0.15150407278945607,0.12493594133991293,0.006416329608309877,4.845325873251723e-05,-0.005371522333886745
2025-12-02,SP500_INDEX,^GSPC,6830.9599609375,6851.5498046875,6806.7099609375,6829.3701171875,6829.3701171875,4582290000.0,6829.3701171875,0.002457235261999813,0.002454221195936617,0.018530615086447932,-0.003298335653487028,0.00557583423790486,0.009553057106133522,0.007871315535552915,0.0885136244712937,0.15165008017936604,0.12495326038795324,0.006564208252780632,-0.0002327408971932849,0.0026906023724031637
2025-12-03,SP500_INDEX,^GSPC,6815.2900390625,6862.419921875,6810.43017578125,6849.72021484375,6849.72021484375,4736780000.0,6849.72021484375,0.0029797912994984355,0.0029753605210852863,0.012391637670694067,0.011543946719868803,0.004715061353722941,0.00916911593010963,0.007872562364807986,0.07484927855017473,0.14555520296034466,0.12497305318877089,0.007628398174658114,0.0050519017655756525,-0.002061694985539679
2025-12-04,SP500_INDEX,^GSPC,6866.47021484375,6866.47021484375,6827.1201171875,6857.1201171875,6857.1201171875,4872440000.0,6857.1201171875,0.0010803218396737702,0.001079738711974404,0.006533509888207778,0.008950482951047167,0.004017777237888511,0.009141760884859485,0.007867637251778418,0.06378023636825399,0.14512095507933584,0.12489486944324017,0.005730760700189745,-0.0013617036648665877,0.0024453553538875583
2025-12-05,SP500_INDEX,^GSPC,6866.31982421875,6895.77978515625,6858.2900390625,6870.39990234375,6870.39990234375,4944560000.0,6870.39990234375,0.001936641757662061,0.0019347688846794776,0.003111370865312324,0.02233228210123861,0.003403837760129662,0.008720283214630715,0.007805108082680368,0.054034249299085284,0.13843020448778254,0.1239022496565145,0.005459947548833495,0.000594216149182103,0.0013416283912237096
2025-12-08,SP500_INDEX,^GSPC,6875.2001953125,6878.27001953125,6827.18994140625,6846.509765625,6846.509765625,4757130000.0,6846.509765625,-0.003477255626794018,-0.0034833153316476935,0.004973098993382052,0.017493455646503175,0.002597920718180532,0.008780120829175082,0.007822413684322432,0.041240712877008034,0.13938009717057295,0.12417696756591402,0.007429613200183802,-0.004173031893247426,0.0006986919301615093
2025-12-09,SP500_INDEX,^GSPC,6840.60986328125,6864.919921875,6837.43017578125,6840.509765625,6840.509765625,4508050000.0,6840.509765625,-0.0008763589340257116,-0.0008767431610132386,0.001631138486617445,0.0011825352965024738,0.0025560147173363046,0.008100900263589362,0.007806641757918068,0.0405754757369575,0.12859780495917025,0.12392659599613987,0.004018610422633273,-1.4632855586064068e-05,-0.0008617386881374606
2025-12-10,SP500_INDEX,^GSPC,6833.490234375,6900.669921875,6824.68994140625,6886.68017578125,6886.68017578125,5526570000.0,6886.68017578125,0.00674955693920154,0.006726880659139976,0.00539583512585029,0.005852577158645955,0.0037838641621932415,0.00822763973203402,0.007843003311474082,0.06006698140807853,0.13060973164797676,0.12450381776409887,0.011118766232596984,0.00778371514144921,-0.0010261707812003458
